,temp,heat_state
2019-12-26 19:41:30+00:00,144.95,0.0
2019-12-26 19:41:45+00:00,144.95,0.0
2019-12-26 19:42:00+00:00,144.838,0.0
2019-12-26 19:42:15+00:00,144.95,0.0
2019-12-26 19:42:30+00:00,144.838,0.0
2019-12-26 19:42:45+00:00,144.838,0.0
2019-12-26 19:43:00+00:00,144.838,0.0
2019-12-26 19:43:15+00:00,144.838,0.0
2019-12-26 19:43:30+00:00,144.838,0.0
2019-12-26 19:43:45+00:00,144.838,0.0
2019-12-26 19:44:00+00:00,144.725,0.0
2019-12-26 19:44:15+00:00,144.725,0.0
2019-12-26 19:44:30+00:00,144.725,0.0
2019-12-26 19:44:45+00:00,144.612,0.0
2019-12-26 19:45:00+00:00,144.612,0.0
2019-12-26 19:45:15+00:00,144.612,0.0
2019-12-26 19:45:30+00:00,144.5,0.0
2019-12-26 19:45:45+00:00,144.5,0.0
2019-12-26 19:46:00+00:00,144.388,0.0
2019-12-26 19:46:15+00:00,144.388,0.0
2019-12-26 19:46:30+00:00,144.275,0.0
2019-12-26 19:46:45+00:00,144.275,0.0
2019-12-26 19:47:00+00:00,144.162,0.0
2019-12-26 19:47:15+00:00,144.162,0.0
2019-12-26 19:47:30+00:00,144.162,0.0
2019-12-26 19:47:45+00:00,144.05,0.0
2019-12-26 19:48:00+00:00,144.05,0.0
2019-12-26 19:48:15+00:00,143.938,0.0
2019-12-26 19:48:30+00:00,143.938,0.0
2019-12-26 19:48:45+00:00,143.938,0.0
2019-12-26 19:49:00+00:00,143.825,0.0
2019-12-26 19:49:15+00:00,143.825,0.0
2019-12-26 19:49:30+00:00,143.712,0.0
2019-12-26 19:49:45+00:00,143.712,0.0
2019-12-26 19:50:00+00:00,143.6,0.0
2019-12-26 19:50:15+00:00,143.6,0.0
2019-12-26 19:50:30+00:00,143.488,0.0
2019-12-26 19:50:45+00:00,143.488,0.0
2019-12-26 19:51:00+00:00,143.375,0.0
2019-12-26 19:51:15+00:00,143.375,0.0
2019-12-26 19:51:30+00:00,143.262,0.0
2019-12-26 19:51:45+00:00,143.262,0.0
2019-12-26 19:52:00+00:00,143.15,0.0
2019-12-26 19:52:15+00:00,143.15,0.0
2019-12-26 19:52:30+00:00,143.038,0.0
2019-12-26 19:52:45+00:00,142.925,0.0
2019-12-26 19:53:00+00:00,142.925,0.0
2019-12-26 19:53:15+00:00,142.925,0.0
2019-12-26 19:53:30+00:00,142.812,0.0
2019-12-26 19:53:45+00:00,142.812,0.0
2019-12-26 19:54:00+00:00,142.7,0.0
2019-12-26 19:54:15+00:00,142.588,0.0
2019-12-26 19:54:30+00:00,142.588,0.0
2019-12-26 19:54:45+00:00,142.588,0.0
2019-12-26 19:55:00+00:00,142.475,0.0
2019-12-26 19:55:15+00:00,142.475,0.0
2019-12-26 19:55:30+00:00,142.362,0.0
2019-12-26 19:55:45+00:00,142.25,0.0
2019-12-26 19:56:00+00:00,142.25,0.0
2019-12-26 19:56:15+00:00,142.25,0.0
2019-12-26 19:56:30+00:00,142.0815,0.0
2019-12-26 19:56:45+00:00,142.0815,0.0
2019-12-26 19:57:00+00:00,142.0815,0.0
2019-12-26 19:57:15+00:00,142.0815,0.0
2019-12-26 19:57:30+00:00,141.912,0.0
2019-12-26 19:57:45+00:00,141.8,0.0
2019-12-26 19:58:00+00:00,141.8,0.0
2019-12-26 19:58:15+00:00,141.688,0.0
2019-12-26 19:58:30+00:00,141.575,0.0
2019-12-26 19:58:45+00:00,141.575,0.0
2019-12-26 19:59:00+00:00,141.462,0.0
2019-12-26 19:59:15+00:00,141.462,0.0
2019-12-26 19:59:30+00:00,141.35,0.0
2019-12-26 19:59:45+00:00,141.35,0.0
2019-12-26 20:00:00+00:00,141.238,0.0
2019-12-26 20:00:15+00:00,141.238,0.0
2019-12-26 20:00:30+00:00,141.125,0.0
2019-12-26 20:00:45+00:00,141.125,0.0
2019-12-26 20:01:00+00:00,141.012,0.0
2019-12-26 20:01:15+00:00,141.012,0.0
2019-12-26 20:01:30+00:00,140.9,0.0
2019-12-26 20:01:45+00:00,140.9,0.0
2019-12-26 20:02:00+00:00,140.7315,0.0
2019-12-26 20:02:15+00:00,140.7315,0.0
2019-12-26 20:02:30+00:00,140.7315,0.0
2019-12-26 20:02:45+00:00,140.562,0.0
2019-12-26 20:03:00+00:00,140.45,0.0
2019-12-26 20:03:15+00:00,140.45,0.0
2019-12-26 20:03:30+00:00,140.338,0.0
2019-12-26 20:03:45+00:00,140.338,0.0
2019-12-26 20:04:00+00:00,140.225,0.0
2019-12-26 20:04:15+00:00,140.112,0.0
2019-12-26 20:04:30+00:00,140.0,0.0
2019-12-26 20:04:45+00:00,140.0,0.0
2019-12-26 20:05:00+00:00,139.888,0.0
2019-12-26 20:05:15+00:00,139.888,0.0
2019-12-26 20:05:30+00:00,139.888,0.0
2019-12-26 20:05:45+00:00,139.775,0.0
2019-12-26 20:06:00+00:00,139.662,100.0
2019-12-26 20:06:15+00:00,139.662,100.0
2019-12-26 20:06:30+00:00,139.55,100.0
2019-12-26 20:06:45+00:00,139.55,100.0
2019-12-26 20:07:00+00:00,139.438,100.0
2019-12-26 20:07:15+00:00,139.438,100.0
2019-12-26 20:07:30+00:00,139.325,100.0
2019-12-26 20:07:45+00:00,139.325,100.0
2019-12-26 20:08:00+00:00,139.325,100.0
2019-12-26 20:08:15+00:00,139.325,100.0
2019-12-26 20:08:30+00:00,139.2685,100.0
2019-12-26 20:08:45+00:00,139.2685,100.0
2019-12-26 20:09:00+00:00,139.212,100.0
2019-12-26 20:09:15+00:00,139.212,100.0
2019-12-26 20:09:30+00:00,139.325,100.0
2019-12-26 20:09:45+00:00,139.325,100.0
2019-12-26 20:10:00+00:00,139.325,100.0
2019-12-26 20:10:15+00:00,139.325,100.0
2019-12-26 20:10:30+00:00,139.438,100.0
2019-12-26 20:10:45+00:00,139.55,100.0
2019-12-26 20:11:00+00:00,139.55,100.0
